Stock Guide,Setor,Ticker,Rating,Market Cap (R$ mn),Volume Negociado (R$ mn) Semana,Volume Negociado (R$ mn) Média (12M),Volume Negociado (R$ mn) % da Média,Preço (R$) Último,Preço (R$) Alvo,Preço (R$) Upside (%),Performance (%) Semana,Performance (%) Mês,Performance (%) Ano,P/L 2025E,P/L 2026E,EV/EBITDA 2025E,EV/EBITDA 2026E,P/VP 2025E,P/VP 2026E,Dividend Yield (%) 2025E,Dividend Yield (%) 2026E,Dívida Líquida/EBITDA 2025E,Dívida Líquida/EBITDA 2026E,Roe (%) 2025E,Roe (%) 2026E,Lucro líquido (R$mn) 2025E,Lucro líquido (R$mn) 2026E,Lucro líquido (R$mn) 2027E,ROE 2025E,ROE 2026E,ROE 2027E,Dividend Yield (%) 2025E (extra),Dividend Yield (%) 2026E (extra),Dividend Yield (%) 2027E,4. Dados fundamentalistas (12M) EPS,4.Dados fundamentalistas (12M) LPA,Dívida líquida 2025E,Dívida líquida 2026E,Dívida líquida 2027E,Dívida Líquida/EBITDA 2025E (extra),Dívida Líquida/EBITDA 2026E (extra),Dívida Líquida/EBITDA 2027E,5.Destaques financeiros (R$ mn) Receita,5.Destaques financeiros (R$ mn) Lucro Bruto,5.Destaques financeiros (R$ mn) Mg. Bruta (%),5.Destaques financeiros (R$ mn) EBITDA,5.Destaques financeiros (R$ mn) Mg. EBITDA (%),5.Destaques financeiros (R$ mn) LAIR,5.Destaques financeiros (R$ mn) Lucro Líquido,5.Destaques financeiros (R$ mn) Mg. Líquida (%),5.Destaques financeiros (R$ mn) ROE,5.Destaques financeiros (R$ mn) Mg. LAIR (%)
Quero-Quero,Varejo,LJQQ3,Buy,434.5257,5.667487,6.850279896,0.8273365593877918,2.1,4,0.9047619047619047,-0.041095890411,-0.049773755656,-0.049773755656,5.741719901812134,3.398935823157886,2.437622833893623,2.082616641486625,0.6338493672070484,0.551727036989357,0.010576751523809524,0.03964671523809524,1.2280871609955748,1.0810748932453074,0.11582700000000001,0.173567,,,,,,,0.010576751523809524,0.03964671523809524,,,,416.8097321532837,443.1125654899298,,1.2280871609955748,1.0810748932453074,,,,,,,,,,,
Petz,Varejo,PETZ3,Neutral,1980.5042049,23.680881,27.721964712,0.8542280911911436,4.39,5,0.1389521640091116,0.05023923445,0.011520737327,0.011520737327,16.585891918448542,13.500288665771196,7.311779744156453,5.956964352902848,1.0804345364960448,1.0156888059062652,0.009886656332574031,0.015073051321184512,1.437814699412294,0.612850039848766,0.0669652,0.0775585,,,,,,,0.009886656332574031,0.015073051321184512,,,,498.05971302792426,233.33953702595932,,1.437814699412294,0.612850039848766,,,,,,,,,,,
Enjoei,Varejo,ENJU3,Neutral,213.21768,0.158044,0.939744088,0.16817770073590502,1.04,2,0.9230769230769229,-0.037037037036,-0.028037383177,-0.028037383177,n.a.,22.374172512258426,n.a.,n.a.,0.7322035807571267,0.7089974503360921,0,0,-10.611060949886122,-7.965934275517806,-0.0285207,0.0321985,,,,,,,0.0,0.0,,,,-213.47913433503993,-250.25251058048775,,-10.611060949886122,-7.965934275517806,,,,,,,,,,,
Track Field,Varejo,TFCO4,Buy,2515.3239161,14.537047,8.2165815,1.769232983327677,16.05,18,0.12149532710280364,0.0012476606352,-0.015337423313,-0.015337423313,13.13793938854436,10.39162005262689,8.19305763970303,6.57437450439511,3.271350915061055,2.6117393207525064,0.01563054952024922,0.019028859289719625,0.11839444060293966,-0.1860955844323304,0.27634000000000003,0.279511,,,,,,,0.01563054952024922,0.019028859289719625,0.024057846492211838,,,36.13296795005065,-67.83532584903476,-216.0488156479832,0.11839444060293966,-0.1860955844323304,-0.507470143989165,,,,,,,,,,
Grupo Mateus,Varejo,GMAT3,Buy,10095.629554,43.198823,31.502872408,1.3712661639397006,4.49,10,1.2271714922048997,-0.0022222222224,-0.0044345898013,-0.0044345898013,4.82919631020751,3.65584960595325,2.71989302103984,1.95416110846458,0.7483058954505002,0.6211618354848037,0,0,-0.1666569909388846,-0.48170168254992585,0.167968,0.18568400000000002,,,,,,,0.0,0.0,,,,-584.1029277765804,-2000.6461155841628,,-0.1666569909388846,-0.48170168254992585,,,,,,,,,,,
Westwing,Varejo,WEST3,n.a.,61.99016184,0.011086,0.056298652,0.19691412860116084,5.58,n.a.,n.a,-0.068447412354,0.0054054054053,0.0054054054053,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assai,Varejo,ASAI3,Buy,9786.08176,54.230644,141.16183482,0.3841735556154483,7.28,14,0.9230769230769229,0.0027548209364,0,0,8.22606598510645,4.78967094283123,4.19437553955701,3.51966022302551,1.4668665473830134,1.192873563595072,0.030391197980769228,0.05219565247252747,2.707692655002663,2.162108028205644,0.191098,0.27470700000000003,,,,,,,0.030391197980769228,0.05219565247252747,,,,17966.765048486857,15711.21300021737,,2.707692655002663,2.162108028205644,,,,,,,,,,,
Allied,Varejo,ALLD3,Buy,795.5210677,10.276182,1.406167596,7.3079354333236966,8.38,10,0.19331742243436745,0.0096385542165,0.026960784315,0.026960784315,6.243604901432613,n.a.,2.3021398734364507,n.a.,0.4379409459106349,n.a.,0,n.a.,-0.5411757123875733,n.a.,0.0723079,n.a.,,,,,,,0.0,,,,,-149.6822357800694,,,-0.5411757123875733,,,,,,,,,,,,
Smart Fit,Varejo,SMFT3,Buy,13724.806228,97.318103,105.72803322,0.9204569501212556,22.98,32,0.392515230635335,-0.014579759862,-0.013733905578,-0.013733905578,13.74844209611639,10.54830320533327,8.29399049793056,6.8711046640194,1.9769272459803335,1.664891651633376,0,0,3.4404701528075576,2.861785114414784,0.154932,0.17135899999999998,,,,,,,0.0,0.0,0.0,,,9749.417944602634,9817.119941101766,9292.216658920435,3.4404701528075576,2.861785114414784,2.2869833979558507,,,,,,,,,,
Vulcabras,Varejo,VULC3,Buy,6301.5533467,20.147574,17.090941592,1.1788451731314067,19.91,20,0.0045203415369161615,-0.0054945054935,-0.0069825436403,-0.0069825436403,8.48242260689898,7.7787664668404,6.59775544689072,5.94041756278803,2.195574885534569,1.998179458795452,0.08252359407835258,0.08356080655951782,-0.2991822991635765,-0.4102606016405373,0.26929400000000003,0.268967,,,,,,,0.08252359407835258,0.08356080655951782,0.0,,,-237.71240892031489,-354.00709959611993,0.0,-0.2991822991635765,-0.4102606016405373,,,,,,,,,,,
